streamer,stream_url,stream_started,stream_finished,stream_duration,stream_hours_watched,stream_avg_viewers,stream_max_viewers,stream_followers,stream_total_followers,stream_uniq_views,stream_total_uniq_views,stream_games
areugat,https://twitchtracker.com/areugat/streams/33716310944,2019-04-16 11:27:55,2019-04-16 15:15:00,227,22,6,7,0,0,3.2,12,"[{'game_title': 'Dark Souls III', 'game_date': '2019-04-16 15:10:00', 'game_avg_viewers': '6'}, {'game_title': 'League of Legends', 'game_date': '2019-04-16 12:50:00', 'game_avg_viewers': '5'}]"
arethebest661,https://twitchtracker.com/arethebest661/streams/26872774288,2017-12-02 03:23:27,2017-12-02 03:35:00,11,0,4,4,0,0,0,0,
areugat,https://twitchtracker.com/areugat/streams/33701212800,2019-04-15 10:44:44,2019-04-15 11:45:00,60,5,5,5,0,0,2,2,
arethebest661,https://twitchtracker.com/arethebest661/streams/26871822240,2017-12-02 01:19:36,2017-12-02 02:15:00,55,4,5,5,0,0,6.5,6,
arethebest661,https://twitchtracker.com/arethebest661/streams/26619105856,2017-10-31 19:09:00,2017-10-31 20:45:00,96,8,5,5,0,0,6.3,10,
arethebest661,https://twitchtracker.com/arethebest661/streams/26832498912,2017-11-27 02:41:21,2017-11-27 04:55:00,133,11,5,5,0,0,1.8,4,
ares_rune,https://twitchtracker.com/ares_rune/streams/24174104512,2017-01-08 01:27:22,2017-01-08 07:45:00,377,402,64,82,2.5,16,56.2,353,
ares_rune,https://twitchtracker.com/ares_rune/streams/24164155504,2017-01-07 08:17:08,2017-01-07 10:55:00,157,81,31,36,0,0,43.6,114,
ares_rune,https://twitchtracker.com/ares_rune/streams/24152731776,2017-01-06 10:18:40,2017-01-06 13:45:00,206,127,37,46,1.2,4,61.7,212,
ares_rune,https://twitchtracker.com/ares_rune/streams/24132405536,2017-01-04 09:50:24,2017-01-04 13:55:00,244,97,24,25,-0.2,-1,35.4,144,"[{'game_title': 'Subsistence', 'game_date': '2017-01-04 11:10:00', 'game_avg_viewers': '24'}, {'game_title': ""Tom Clancy's Rainbow Six: Siege"", 'game_date': '2017-01-04 13:50:00', 'game_avg_viewers': '25'}]"
ares_rune,https://twitchtracker.com/ares_rune/streams/24122633856,2017-01-03 09:47:18,2017-01-03 11:45:00,117,46,24,24,0.5,1,72.3,141,
ares_rune,https://twitchtracker.com/ares_rune/streams/23683943568,2016-11-17 12:57:46,2016-11-17 14:15:00,77,34,27,28,0,0,0,0,
ares_rune,https://twitchtracker.com/ares_rune/streams/24058883536,2016-12-28 10:12:16,2016-12-28 14:45:00,272,167,37,49,1.5,7,37.3,169,
ares_rune,https://twitchtracker.com/ares_rune/streams/24099197072,2017-01-01 03:12:37,2017-01-01 07:15:00,242,108,27,28,0.2,1,32.5,131,
ares_rune,https://twitchtracker.com/ares_rune/streams/24027259584,2016-12-25 04:52:33,2016-12-25 09:55:00,302,135,27,30,0.2,1,40.7,205,"[{'game_title': 'Blade and Soul', 'game_date': '2016-12-25 06:50:00', 'game_avg_viewers': '26'}, {'game_title': 'Overwatch', 'game_date': '2016-12-25 09:50:00', 'game_avg_viewers': '26'}]"
ares_rune,https://twitchtracker.com/ares_rune/streams/24091972960,2016-12-31 08:13:57,2016-12-31 14:15:00,361,150,25,27,0.7,4,24.9,150,
ares_rune,https://twitchtracker.com/ares_rune/streams/24081291840,2016-12-30 10:04:59,2016-12-30 11:55:00,110,53,29,35,-0.5,-1,50.7,93,"[{'game_title': ""Tom Clancy's Rainbow Six: Siege"", 'game_date': '2016-12-30 11:20:00', 'game_avg_viewers': '29'}, {'game_title': 'Heroes of the Storm', 'game_date': '2016-12-30 11:50:00', 'game_avg_viewers': '26'}]"
ares_rune,https://twitchtracker.com/ares_rune/streams/24034874080,2016-12-26 02:43:11,2016-12-26 12:35:00,591,394,40,59,1.8,18,56.6,558,"[{'game_title': 'Talk Shows & Podcasts', 'game_date': '2016-12-26 04:50:00', 'game_avg_viewers': '25'}, {'game_title': ""Tom Clancy's Rainbow Six: Siege"", 'game_date': '2016-12-26 11:00:00', 'game_avg_viewers': '43'}, {'game_title': 'Overwatch', 'game_date': '2016-12-26 12:30:00', 'game_avg_viewers': '28'}]"
ares_rune,https://twitchtracker.com/ares_rune/streams/24754992784,2017-03-11 11:48:54,2017-03-11 17:25:00,336,235,42,55,0,0,0,0,
ares_rune,https://twitchtracker.com/ares_rune/streams/32877019840,2019-02-23 04:32:20,2019-02-23 08:05:00,212,24,7,9,0,0,6.2,22,
ares_rune,https://twitchtracker.com/ares_rune/streams/32059743440,2019-01-07 10:39:42,2019-01-07 14:35:00,235,39,10,14,-0.3,-1,8.4,33,
ares_rune,https://twitchtracker.com/ares_rune/streams/26933761264,2017-12-09 04:13:45,2017-12-09 08:35:00,261,47,11,16,-0.2,-1,20.9,91,
ares_rune,https://twitchtracker.com/ares_rune/streams/31453647744,2018-11-29 12:54:29,2018-11-29 15:05:00,130,21,10,12,-0.5,-1,14.8,32,
ares_rune,https://twitchtracker.com/ares_rune/streams/32075118704,2019-01-08 10:26:02,2019-01-08 15:05:00,278,50,11,14,0.4,2,11.4,53,
ares_rune,https://twitchtracker.com/ares_rune/streams/26962877616,2017-12-12 11:07:35,2017-12-12 13:15:00,127,12,6,7,0,0,10.9,23,
ares_rune,https://twitchtracker.com/ares_rune/streams/26944112864,2017-12-10 04:43:51,2017-12-10 06:55:00,131,30,14,17,0,0,16.9,37,
ares_rune,https://twitchtracker.com/ares_rune/streams/26935549024,2017-12-09 10:11:13,2017-12-09 12:55:00,163,29,11,14,-0.4,-1,11,30,
ares_rune,https://twitchtracker.com/ares_rune/streams/31498227552,2018-12-02 08:39:49,2018-12-02 11:05:00,145,16,7,10,-0.8,-2,19,46,
ares_rune,https://twitchtracker.com/ares_rune/streams/26918104784,2017-12-07 10:44:39,2017-12-07 13:35:00,170,17,6,8,0,0,9.2,26,
ares_rune,https://twitchtracker.com/ares_rune/streams/26893523888,2017-12-04 09:54:46,2017-12-04 13:45:00,230,30,8,12,0,0,10.7,41,
ares_rune,https://twitchtracker.com/ares_rune/streams/26857888208,2017-11-30 10:18:53,2017-11-30 10:35:00,16,1,4,4,0,0,0,0,
ares_rune,https://twitchtracker.com/ares_rune/streams/26842198256,2017-11-28 11:11:50,2017-11-28 13:15:00,123,14,7,10,0,0,13.7,28,
ares_rune,https://twitchtracker.com/ares_rune/streams/26834278416,2017-11-27 10:26:34,2017-11-27 13:25:00,178,20,7,9,0,0,10.1,30,
ares_rune,https://twitchtracker.com/ares_rune/streams/26815262000,2017-11-25 05:31:08,2017-11-25 08:15:00,163,21,8,10,0,0,11.4,31,
ares_rune,https://twitchtracker.com/ares_rune/streams/26800742640,2017-11-23 10:27:33,2017-11-23 12:05:00,97,16,10,10,0,0,5.6,9,
ares_rune,https://twitchtracker.com/ares_rune/streams/26909847664,2017-12-06 09:54:04,2017-12-06 14:35:00,280,60,13,22,0,0,19.3,90,"[{'game_title': ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'game_date': '2017-12-06 11:30:00', 'game_avg_viewers': '8'}, {'game_title': 'Domina', 'game_date': '2017-12-06 14:30:00', 'game_avg_viewers': '16'}]"
ares_rune,https://twitchtracker.com/ares_rune/streams/26735693568,2017-11-15 10:07:22,2017-11-15 14:25:00,257,29,7,10,-0.2,-1,11.7,50,"[{'game_title': ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'game_date': '2017-11-15 14:20:00', 'game_avg_viewers': '7'}, {'game_title': ""Assassin's Creed Origins"", 'game_date': '2017-11-15 13:30:00', 'game_avg_viewers': '6'}]"
ares_rune,https://twitchtracker.com/ares_rune/streams/26694781632,2017-11-10 10:04:25,2017-11-10 13:25:00,200,23,7,11,0,0,9,30,"[{'game_title': ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'game_date': '2017-11-10 12:20:00', 'game_avg_viewers': '6'}, {'game_title': ""Tom Clancy's Rainbow Six: Siege"", 'game_date': '2017-11-10 13:20:00', 'game_avg_viewers': '8'}]"
ares_rune,https://twitchtracker.com/ares_rune/streams/26743239552,2017-11-16 10:04:05,2017-11-16 12:25:00,140,16,7,9,0,0,9,21,
ares_rune,https://twitchtracker.com/ares_rune/streams/26728394352,2017-11-14 10:46:15,2017-11-14 13:55:00,188,15,5,7,-1,-3,7.7,24,
ares_rune,https://twitchtracker.com/ares_rune/streams/26720887344,2017-11-13 10:00:24,2017-11-13 13:45:00,224,26,7,9,-0.3,-1,5.9,22,
ares_rune,https://twitchtracker.com/ares_rune/streams/26776757440,2017-11-20 10:29:29,2017-11-20 12:15:00,105,12,7,9,0,0,13.7,24,
ares_rune,https://twitchtracker.com/ares_rune/streams/26680033792,2017-11-08 10:18:04,2017-11-08 13:55:00,216,25,7,11,0,0,11.4,41,"[{'game_title': ""Assassin's Creed Origins"", 'game_date': '2017-11-08 11:50:00', 'game_avg_viewers': '5'}, {'game_title': ""Tom Clancy's Rainbow Six: Siege"", 'game_date': '2017-11-08 13:50:00', 'game_avg_viewers': '8'}]"
ares_rune,https://twitchtracker.com/ares_rune/streams/26672623008,2017-11-07 10:13:26,2017-11-07 14:05:00,231,26,7,10,-1,-4,12.2,47,"[{'game_title': ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'game_date': '2017-11-07 12:20:00', 'game_avg_viewers': '6'}, {'game_title': ""Assassin's Creed Origins"", 'game_date': '2017-11-07 14:00:00', 'game_avg_viewers': '7'}]"
ares_rune,https://twitchtracker.com/ares_rune/streams/26665161552,2017-11-06 10:04:40,2017-11-06 15:55:00,350,64,11,14,0,0,18.9,110,"[{'game_title': ""Assassin's Creed Origins"", 'game_date': '2017-11-06 12:20:00', 'game_avg_viewers': '7'}, {'game_title': 'Northgard', 'game_date': '2017-11-06 15:50:00', 'game_avg_viewers': '12'}]"
ares_rune,https://twitchtracker.com/ares_rune/streams/26616162640,2017-10-31 09:30:52,2017-10-31 12:35:00,184,27,9,13,0.3,1,16,49,
ares_rune,https://twitchtracker.com/ares_rune/streams/26608800176,2017-10-30 09:58:34,2017-10-30 12:35:00,156,18,7,11,0,0,18.8,49,
ares_rune,https://twitchtracker.com/ares_rune/streams/26568234240,2017-10-25 10:05:25,2017-10-25 12:05:00,119,15,8,15,0.5,1,16.6,33,
ares_rune,https://twitchtracker.com/ares_rune/streams/26631010192,2017-11-02 10:11:01,2017-11-02 12:05:00,113,13,7,9,0.5,1,11.7,22,
ares_rune,https://twitchtracker.com/ares_rune/streams/26560193024,2017-10-24 11:33:33,2017-10-24 12:55:00,81,12,9,12,0.7,1,17,23,
ares_rune,https://twitchtracker.com/ares_rune/streams/26512280320,2017-10-18 10:21:34,2017-10-18 12:45:00,143,26,11,13,-0.4,-1,10.1,24,
ares_rune,https://twitchtracker.com/ares_rune/streams/26504990992,2017-10-17 09:45:03,2017-10-17 12:55:00,189,18,6,8,0,0,4.1,13,"[{'game_title': ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'game_date': '2017-10-17 11:20:00', 'game_avg_viewers': '6'}, {'game_title': 'Middle-earth: Shadow of War', 'game_date': '2017-10-17 12:50:00', 'game_avg_viewers': '6'}]"
ares_rune,https://twitchtracker.com/ares_rune/streams/26473280432,2017-10-13 10:03:06,2017-10-13 12:55:00,171,25,9,12,0.4,1,9.5,27,
ares_rune,https://twitchtracker.com/ares_rune/streams/26451739728,2017-10-10 10:06:47,2017-10-10 14:15:00,248,24,6,8,0.2,1,10.4,43,"[{'game_title': 'Middle-earth: Shadow of War', 'game_date': '2017-10-10 12:50:00', 'game_avg_viewers': '5'}, {'game_title': 'Prominence Poker', 'game_date': '2017-10-10 14:10:00', 'game_avg_viewers': '6'}]"
ares_rune,https://twitchtracker.com/ares_rune/streams/26404089696,2017-10-04 07:01:35,2017-10-04 07:55:00,53,7,8,10,1.1,1,9.1,8,"[{'game_title': 'Black Survival', 'game_date': '2017-10-04 07:40:00', 'game_avg_viewers': '8'}, {'game_title': ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'game_date': '2017-10-04 07:50:00', 'game_avg_viewers': '7'}]"
ares_rune,https://twitchtracker.com/ares_rune/streams/26395961280,2017-10-03 03:12:15,2017-10-03 05:25:00,132,17,8,13,1.4,3,5,11,"[{'game_title': ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'game_date': '2017-10-03 04:40:00', 'game_avg_viewers': '7'}, {'game_title': 'FIFA 18', 'game_date': '2017-10-03 05:20:00', 'game_avg_viewers': '9'}]"
ares_rune,https://twitchtracker.com/ares_rune/streams/26458931616,2017-10-11 09:57:58,2017-10-11 12:15:00,137,13,6,9,0,0,13.1,30,
ares_rune,https://twitchtracker.com/ares_rune/streams/26371818240,2017-09-30 05:08:03,2017-09-30 07:35:00,146,14,6,7,0,0,5.3,13,"[{'game_title': ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'game_date': '2017-09-30 07:00:00', 'game_avg_viewers': '6'}, {'game_title': 'FIFA 18', 'game_date': '2017-09-30 07:30:00', 'game_avg_viewers': '5'}]"
ares_rune,https://twitchtracker.com/ares_rune/streams/26465568272,2017-10-12 06:37:33,2017-10-12 11:55:00,317,36,7,9,-0.2,-1,6.2,33,
ares_rune,https://twitchtracker.com/ares_rune/streams/26381182400,2017-10-01 06:50:29,2017-10-01 11:15:00,264,57,13,23,3,13,20.9,92,"[{'game_title': 'Black Survival', 'game_date': '2017-10-01 09:20:00', 'game_avg_viewers': '14'}, {'game_title': ""Tom Clancy's Rainbow Six: Siege"", 'game_date': '2017-10-01 11:10:00', 'game_avg_viewers': '10'}]"
ares_rune,https://twitchtracker.com/ares_rune/streams/26364778272,2017-09-29 10:27:21,2017-09-29 12:45:00,137,20,9,11,1.8,4,11.4,26,"[{'game_title': 'FIFA 18', 'game_date': '2017-09-29 12:00:00', 'game_avg_viewers': '9'}, {'game_title': ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'game_date': '2017-09-29 12:40:00', 'game_avg_viewers': '8'}]"
ares_rune,https://twitchtracker.com/ares_rune/streams/26327607888,2017-09-24 04:03:11,2017-09-24 06:55:00,171,39,14,22,2.5,7,15.4,44,
ares_rune,https://twitchtracker.com/ares_rune/streams/26350451200,2017-09-27 09:57:24,2017-09-27 12:05:00,127,19,9,12,0.9,2,9.4,20,
ares_rune,https://twitchtracker.com/ares_rune/streams/26343466416,2017-09-26 10:20:21,2017-09-26 11:55:00,94,10,7,9,0,0,6.4,10,
ares_rune,https://twitchtracker.com/ares_rune/streams/26336575728,2017-09-25 10:12:06,2017-09-25 12:15:00,122,22,11,13,0,0,17.7,36,
ares_rune,https://twitchtracker.com/ares_rune/streams/26319152400,2017-09-23 03:57:40,2017-09-23 08:35:00,277,83,18,29,3.9,18,13.4,62,"[{'game_title': ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'game_date': '2017-09-23 06:50:00', 'game_avg_viewers': '16'}, {'game_title': ""Tom Clancy's Rainbow Six: Siege"", 'game_date': '2017-09-23 08:20:00', 'game_avg_viewers': '20'}, {'game_title': 'NBA 2K18', 'game_date': '2017-09-23 08:30:00', 'game_avg_viewers': '29'}]"
ares_rune,https://twitchtracker.com/ares_rune/streams/26312724912,2017-09-22 10:12:30,2017-09-22 12:55:00,162,27,10,13,1.1,3,13.3,36,"[{'game_title': 'NBA 2K18', 'game_date': '2017-09-22 12:10:00', 'game_avg_viewers': '9'}, {'game_title': ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'game_date': '2017-09-22 12:50:00', 'game_avg_viewers': '9'}]"
ares_rune,https://twitchtracker.com/ares_rune/streams/26320519632,2017-09-23 09:45:46,2017-09-23 12:15:00,149,17,7,10,0,0,11.7,29,"[{'game_title': 'NBA 2K18', 'game_date': '2017-09-23 11:50:00', 'game_avg_viewers': '6'}, {'game_title': ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'game_date': '2017-09-23 12:10:00', 'game_avg_viewers': '8'}]"
ares_rune,https://twitchtracker.com/ares_rune/streams/26285115648,2017-09-18 10:28:20,2017-09-18 12:25:00,116,21,11,15,1,2,19.7,38,
ares_rune,https://twitchtracker.com/ares_rune/streams/26276068624,2017-09-17 04:30:03,2017-09-17 12:45:00,494,189,23,37,2.4,20,33.4,275,"[{'game_title': ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'game_date': '2017-09-17 06:50:00', 'game_avg_viewers': '10'}, {'game_title': 'NBA 2K18', 'game_date': '2017-09-17 12:40:00', 'game_avg_viewers': '27'}]"
ares_rune,https://twitchtracker.com/ares_rune/streams/26261383520,2017-09-15 12:07:06,2017-09-15 15:05:00,177,32,11,18,1,3,14.6,43,"[{'game_title': ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'game_date': '2017-09-15 13:00:00', 'game_avg_viewers': '6'}, {'game_title': 'Lost Ark Online', 'game_date': '2017-09-15 15:00:00', 'game_avg_viewers': '12'}]"
ares_rune,https://twitchtracker.com/ares_rune/streams/26246177264,2017-09-13 06:03:13,2017-09-13 11:45:00,341,51,9,13,0.2,1,8.4,48,
ares_rune,https://twitchtracker.com/ares_rune/streams/26232993072,2017-09-11 11:14:25,2017-09-11 11:55:00,40,3,5,5,0,0,0,0,
ares_rune,https://twitchtracker.com/ares_rune/streams/26239838016,2017-09-12 09:49:30,2017-09-12 12:35:00,165,33,12,15,1.5,4,9.8,27,
ares_rune,https://twitchtracker.com/ares_rune/streams/26224007952,2017-09-10 04:55:38,2017-09-10 09:25:00,269,94,21,37,3.3,15,25.9,116,"[{'game_title': 'Yet Another Zombie Defense', 'game_date': '2017-09-10 05:30:00', 'game_avg_viewers': '10'}, {'game_title': ""Tom Clancy's Rainbow Six: Siege"", 'game_date': '2017-09-10 06:30:00', 'game_avg_viewers': '30'}, {'game_title': 'RAID: World War II', 'game_date': '2017-09-10 08:00:00', 'game_avg_viewers': '27'}, {'game_title': ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'game_date': '2017-09-10 09:20:00', 'game_avg_viewers': '15'}]"
ares_rune,https://twitchtracker.com/ares_rune/streams/26216917088,2017-09-09 10:57:27,2017-09-09 11:55:00,57,4,5,8,0,0,3.2,3,
ares_rune,https://twitchtracker.com/ares_rune/streams/26215378560,2017-09-09 04:19:20,2017-09-09 08:45:00,265,83,19,39,8.4,37,18.6,82,"[{'game_title': ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'game_date': '2017-09-09 05:50:00', 'game_avg_viewers': '9'}, {'game_title': ""Tom Clancy's Rainbow Six: Siege"", 'game_date': '2017-09-09 08:40:00', 'game_avg_viewers': '24'}]"
ares_rune,https://twitchtracker.com/ares_rune/streams/26169547536,2017-09-03 07:47:34,2017-09-03 11:15:00,207,34,10,15,0,0,9.6,33,"[{'game_title': 'Absolver', 'game_date': '2017-09-03 08:30:00', 'game_avg_viewers': '12'}, {'game_title': ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'game_date': '2017-09-03 11:10:00', 'game_avg_viewers': '9'}]"
ares_rune,https://twitchtracker.com/ares_rune/streams/26201381280,2017-09-07 10:14:33,2017-09-07 12:45:00,150,37,15,18,0.8,2,16.4,41,
ares_rune,https://twitchtracker.com/ares_rune/streams/26178362208,2017-09-04 10:44:19,2017-09-04 12:45:00,120,26,13,21,0.5,1,16.5,33,
ares_rune,https://twitchtracker.com/ares_rune/streams/26131059776,2017-08-29 10:11:05,2017-08-29 12:25:00,133,26,12,16,2.7,6,23.9,53,"[{'game_title': ""Tom Clancy's Rainbow Six: Siege"", 'game_date': '2017-08-29 11:30:00', 'game_avg_viewers': '12'}, {'game_title': ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'game_date': '2017-08-29 12:10:00', 'game_avg_viewers': '10'}, {'game_title': 'Tree of Life', 'game_date': '2017-08-29 12:20:00', 'game_avg_viewers': '10'}]"
ares_rune,https://twitchtracker.com/ares_rune/streams/26114972272,2017-08-27 09:08:49,2017-08-27 12:25:00,196,42,13,16,5.5,18,12.6,41,"[{'game_title': ""Tom Clancy's Rainbow Six: Siege"", 'game_date': '2017-08-27 12:00:00', 'game_avg_viewers': '12'}, {'game_title': 'Tree of Life', 'game_date': '2017-08-27 12:20:00', 'game_avg_viewers': '13'}]"
ares_rune,https://twitchtracker.com/ares_rune/streams/26107153376,2017-08-26 11:30:30,2017-08-26 15:05:00,214,24,7,12,0.6,2,9.3,33,"[{'game_title': ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'game_date': '2017-08-26 12:50:00', 'game_avg_viewers': '7'}, {'game_title': ""Tom Clancy's Rainbow Six: Siege"", 'game_date': '2017-08-26 15:00:00', 'game_avg_viewers': '7'}]"
ares_rune,https://twitchtracker.com/ares_rune/streams/26208738608,2017-09-08 10:17:01,2017-09-08 12:35:00,137,20,9,12,0,0,8.8,20,"[{'game_title': ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'game_date': '2017-09-08 11:20:00', 'game_avg_viewers': '8'}, {'game_title': ""Tom Clancy's Rainbow Six: Siege"", 'game_date': '2017-09-08 12:30:00', 'game_avg_viewers': '9'}]"
ares_rune,https://twitchtracker.com/ares_rune/streams/26105852304,2017-08-26 05:40:35,2017-08-26 09:15:00,214,28,8,15,0.3,1,11.8,42,"[{'game_title': 'Tree of Life', 'game_date': '2017-08-26 06:20:00', 'game_avg_viewers': '5'}, {'game_title': ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'game_date': '2017-08-26 08:10:00', 'game_avg_viewers': '8'}, {'game_title': ""Tom Clancy's Rainbow Six: Siege"", 'game_date': '2017-08-26 09:10:00', 'game_avg_viewers': '10'}]"
ares_rune,https://twitchtracker.com/ares_rune/streams/26098520816,2017-08-25 10:06:37,2017-08-25 12:45:00,158,44,17,22,3.8,10,25.8,68,
ares_rune,https://twitchtracker.com/ares_rune/streams/26067701264,2017-08-21 10:27:09,2017-08-21 11:55:00,87,13,9,13,0,0,5.5,8,
ares_rune,https://twitchtracker.com/ares_rune/streams/26027562144,2017-08-16 09:37:47,2017-08-16 11:55:00,137,31,14,18,3.5,8,14.9,34,
ares_rune,https://twitchtracker.com/ares_rune/streams/25989282000,2017-08-12 07:15:00,2017-08-12 08:45:00,90,16,11,15,0,0,24,36,
ares_rune,https://twitchtracker.com/ares_rune/streams/25981798144,2017-08-11 10:16:10,2017-08-11 12:15:00,118,25,13,19,0.5,1,13.2,26,
ares_rune,https://twitchtracker.com/ares_rune/streams/25973700448,2017-08-10 10:03:40,2017-08-10 13:55:00,231,46,12,17,0.3,1,7.3,28,
ares_rune,https://twitchtracker.com/ares_rune/streams/25965710704,2017-08-09 09:47:56,2017-08-09 12:45:00,177,35,12,16,-0.3,-1,12.2,36,
ares_rune,https://twitchtracker.com/ares_rune/streams/25916813888,2017-08-03 11:26:05,2017-08-03 11:55:00,28,4,10,10,0,0,0,0,
ares_rune,https://twitchtracker.com/ares_rune/streams/25575024544,2017-06-23 10:04:05,2017-06-23 14:05:00,240,104,26,28,0,0,0,0,
ares_rune,https://twitchtracker.com/ares_rune/streams/25899968848,2017-08-01 10:03:03,2017-08-01 12:05:00,121,22,11,15,0.5,1,11.4,23,
ares_rune,https://twitchtracker.com/ares_rune/streams/25891986992,2017-07-31 10:42:14,2017-07-31 12:15:00,92,15,10,14,0,0,9.8,15,
ares_rune,https://twitchtracker.com/ares_rune/streams/25874179744,2017-07-29 05:13:48,2017-07-29 07:15:00,121,14,7,9,1,2,4.5,9,
ares_rune,https://twitchtracker.com/ares_rune/streams/25858726960,2017-07-27 10:02:39,2017-07-27 12:45:00,162,37,14,17,1.9,5,11.5,31,"[{'game_title': ""Tom Clancy's Rainbow Six: Siege"", 'game_date': '2017-07-27 11:30:00', 'game_avg_viewers': '14'}, {'game_title': ""PLAYERUNKNOWN'S BATTLEGROUNDS"", 'game_date': '2017-07-27 12:40:00', 'game_avg_viewers': '13'}]"
ares_rune,https://twitchtracker.com/ares_rune/streams/25682303712,2017-07-06 10:03:32,2017-07-06 13:25:00,201,80,24,24,0,0,0,0,
ares_rune,https://twitchtracker.com/ares_rune/streams/25908279552,2017-08-02 09:48:52,2017-08-02 12:25:00,156,28,11,17,0.4,1,10.8,28,
ares_rune,https://twitchtracker.com/ares_rune/streams/25567305584,2017-06-22 09:38:52,2017-06-22 13:35:00,236,98,25,25,0,0,0,0,
