streamer,stream_url,stream_started,stream_finished,stream_duration,stream_hours_watched,stream_avg_viewers,stream_max_viewers,stream_followers,stream_total_followers,stream_uniq_views,stream_total_uniq_views,stream_games
areu0502,https://twitchtracker.com/areu0502/streams/33576077968,2019-04-07 05:50:00,2019-04-07 05:55:00,5,0,4,4,0,0,0,0,
arenvina,https://twitchtracker.com/arenvina/streams/33530178224,2019-04-04 11:40:30,2019-04-04 12:25:00,44,3,5,5,1.4,1,8.2,6,
arescc,https://twitchtracker.com/arescc/streams/30521379520,2018-09-26 10:06:57,2018-09-26 12:45:00,158,13,5,5,0,0,3.4,9,"[{'game_title': ""Tom Clancy's Rainbow Six: Siege"", 'game_date': '2018-09-26 12:10:00', 'game_avg_viewers': '5'}, {'game_title': 'IRL', 'game_date': '2018-09-26 12:40:00', 'game_avg_viewers': '5'}]"
aretehs,https://twitchtracker.com/aretehs/streams/29083045072,2018-06-14 02:52:46,2018-06-14 10:55:00,482,40,5,6,0.1,1,0.1,1,
aretehs,https://twitchtracker.com/aretehs/streams/29121503776,2018-06-17 04:15:41,2018-06-17 13:45:00,569,47,5,5,0,0,1.1,10,
arescc,https://twitchtracker.com/arescc/streams/32212096640,2019-01-16 17:25:36,2019-01-16 22:45:00,319,26,5,5,0,0,0.9,5,
arescc,https://twitchtracker.com/arescc/streams/31438501056,2018-11-28 06:26:26,2018-11-28 10:45:00,258,21,5,5,0,0,0,0,"[{'game_title': 'League of Legends', 'game_date': '2018-11-28 10:10:00', 'game_avg_viewers': '5'}, {'game_title': 'Lost Ark Online', 'game_date': '2018-11-28 10:40:00', 'game_avg_viewers': '5'}]"
areudrunken,https://twitchtracker.com/areudrunken/streams/30814020416,2018-10-17 08:27:33,2018-10-17 09:45:00,77,6,5,5,0.8,1,0,0,
arethebest661,https://twitchtracker.com/arethebest661/streams/32894362800,2019-02-24 02:03:07,2019-02-24 05:05:00,181,15,5,5,0,0,0,0,
areudrunken,https://twitchtracker.com/areudrunken/streams/31159992096,2018-11-09 01:46:38,2018-11-09 03:05:00,78,6,5,5,0,0,13.1,17,
arethebest661,https://twitchtracker.com/arethebest661/streams/26613037728,2017-10-30 22:20:07,2017-10-31 05:05:00,404,60,9,17,0.1,1,12,81,
arethebest661,https://twitchtracker.com/arethebest661/streams/27515633664,2018-02-06 06:09:36,2018-02-06 07:45:00,95,7,5,5,0,0,0,0,
arethebest661,https://twitchtracker.com/arethebest661/streams/30398703952,2018-09-17 07:23:04,2018-09-17 11:15:00,231,23,6,8,0,0,3.1,12,
arethebest661,https://twitchtracker.com/arethebest661/streams/27473013152,2018-02-02 12:30:28,2018-02-02 15:25:00,174,23,8,11,0,0,5.9,17,
arethebest661,https://twitchtracker.com/arethebest661/streams/27440663936,2018-01-30 05:57:29,2018-01-30 11:35:00,337,33,6,7,0,0,4.1,23,
areugat,https://twitchtracker.com/areugat/streams/33779319104,2019-04-20 12:38:39,2019-04-20 15:25:00,166,13,5,7,0,0,1.1,3,
areugat,https://twitchtracker.com/areugat/streams/33762357120,2019-04-19 12:24:52,2019-04-19 15:15:00,170,14,5,6,0,0,5.6,16,
areugat,https://twitchtracker.com/areugat/streams/33764396928,2019-04-19 15:24:58,2019-04-19 16:45:00,80,6,5,6,0,0,1.5,2,
arethebest661,https://twitchtracker.com/arethebest661/streams/26909637040,2017-12-06 08:47:48,2017-12-06 10:55:00,127,12,6,6,0,0,0,0,
